name,author,booklink,avg_rating,num_ratings
ব্যোমকেশ সমগ্র,Sharadindu Bandyopadhyay,/book/show/2426848._,4.59,3054
Byomkesh Bakshi Stories,Sharadindu Bandyopadhyay,/book/show/5968988-byomkesh-bakshi-stories,4.27,1182
ঐতিহাসিক কাহিনী সমগ্র,Sharadindu Bandyopadhyay,/book/show/12220441,4.52,510
সত্যান্বেষী,Sharadindu Bandyopadhyay,/book/show/20746143,4.14,534
ঝিন্দের বন্দী,Sharadindu Bandyopadhyay,/book/show/17410164,4.47,437
Picture Imperfect and Other Byomkesh Bakshi Mysteries,Sharadindu Bandyopadhyay,/book/show/459576.Picture_Imperfect_and_Other_Byomkesh_Bakshi_Mysteries,4.33,441
The Menagerie and Other Byomkesh Bakshi Mysteries,Sharadindu Bandyopadhyay,/book/show/459578.The_Menagerie_and_Other_Byomkesh_Bakshi_Mysteries,4.25,437
পথের কাঁটা,Sharadindu Bandyopadhyay,/book/show/20746155,4.19,395
Byomkesh Bakshi Ki Rahasyamayi Kahaniyan,Sharadindu Bandyopadhyay,/book/show/37658511-byomkesh-bakshi-ki-rahasyamayi-kahaniyan,4.32,337
By The Tungabhadra,Sharadindu Bandyopadhyay,/book/show/9917725-by-the-tungabhadra,4.23,343
শরদিন্দু অমনিবাস - প্রথম খণ্ড,Sharadindu Bandyopadhyay,/book/show/12605098--,4.37,330
অর্থমনর্থম্‌,Sharadindu Bandyopadhyay,/book/show/20746186,4.26,306
মাকড়সার রস,Sharadindu Bandyopadhyay,/book/show/20746176,3.89,333
চোরাবালি,Sharadindu Bandyopadhyay,/book/show/20746249,4.25,298
অগ্নিবাণ,Sharadindu Bandyopadhyay,/book/show/20746257,4.21,275
সীমন্ত-হীরা,Sharadindu Bandyopadhyay,/book/show/20746164--,3.8,294
শজারুর কাঁটা,Sharadindu Bandyopadhyay,/book/show/20746357,4.36,249
চিড়িয়াখানা,Sharadindu Bandyopadhyay,/book/show/20746280,4.4,238
The Rhythm of Riddles: Three Byomkesh Bakshi Mysteries,Sharadindu Bandyopadhyay,/book/show/16636071-the-rhythm-of-riddles,4.02,257
চিত্রচোর,Sharadindu Bandyopadhyay,/book/show/20746275,4.14,237
দুর্গরহস্য,Sharadindu Bandyopadhyay,/book/show/20746278,4.37,224
রক্তমুখী নীলা,Sharadindu Bandyopadhyay,/book/show/20746270,3.7,255
কহেন কবি কালিদাস,Sharadindu Bandyopadhyay,/book/show/20746317,4.22,204
আদিম রিপু,Sharadindu Bandyopadhyay,/book/show/20746288,4.28,192
উপসংহার,Sharadindu Bandyopadhyay,/book/show/20746268,3.87,209
শরদিন্দু অমনিবাস - দ্বিতীয় খণ্ড,Sharadindu Bandyopadhyay,/book/show/12605146--,4.53,174
ব্যোমকেশ ও বরদা,Sharadindu Bandyopadhyay,/book/show/20746273,3.81,206
লোহার বিস্কুট,Sharadindu Bandyopadhyay,/book/show/20746360,3.78,193
বহ্নি-পতঙ্গ,Sharadindu Bandyopadhyay,/book/show/20746292--,4.2,167
রক্তের দাগ,Sharadindu Bandyopadhyay,/book/show/20746300,3.9,180
Pather Panchali: Song of the Road,Bibhutibhushan Bandyopadhyay,/book/show/617097.Pather_Panchali,4.58,5049
চাঁদের পাহাড়,Bibhutibhushan Bandyopadhyay,/book/show/7936528,4.55,4684
আরণ্যক,Bibhutibhushan Bandyopadhyay,/book/show/3084276,4.61,2807
আদর্শ হিন্দু হোটেল,Bibhutibhushan Bandyopadhyay,/book/show/14741940,4.46,2114
"Aparajito, Yang tak Terkalahkan",Bibhutibhushan Bandyopadhyay,/book/show/4487566-aparajito-yang-tak-terkalahkan,4.52,1462
আম আঁটির ভেঁপু,Bibhutibhushan Bandyopadhyay,/book/show/20959166,4.54,534
ইছামতী,Bibhutibhushan Bandyopadhyay,/book/show/15721609,4.22,514
তারানাথ তান্ত্রিক,Bibhutibhushan Bandyopadhyay,/book/show/32794197,4.35,495
অশনি-সংকেত,Bibhutibhushan Bandyopadhyay,/book/show/15721603--,4.37,403
দৃষ্টি-প্রদীপ,Bibhutibhushan Bandyopadhyay,/book/show/17788978--,4.15,397
চাঁদের পাহাড়,Bibhutibhushan Bandyopadhyay,/book/show/27917596,4.49,220
হীরা মানিক জ্বলে,Bibhutibhushan Bandyopadhyay,/book/show/20930173,3.91,252
তারানাথ তান্ত্রিক সমগ্র,Bibhutibhushan Bandyopadhyay,/book/show/46267985,4.57,211
দেবযান,Bibhutibhushan Bandyopadhyay,/book/show/16122257,3.78,210
අපූගේ ලෝකය,Bibhutibhushan Bandyopadhyay,/book/show/13556389,3.98,197
মিস্‌মিদের কবচ,Bibhutibhushan Bandyopadhyay,/book/show/23275415,3.52,217
সুন্দরবনে সাত বৎসর,Bibhutibhushan Bandyopadhyay,/book/show/29510922,3.75,147
মরণের ডঙ্কা বাজে,Bibhutibhushan Bandyopadhyay,/book/show/14740484,3.44,152
বিভূতিভূষণ বন্দ্যোপাধ্যায়ের শ্রেষ্ঠ গল্প,Bibhutibhushan Bandyopadhyay,/book/show/18278365,4.53,104
