name,author,booklink,avg_rating,num_ratings
দেশে বিদেশে,Syed Mujtaba Ali,/book/show/6422836,4.57,1557
চাচা কাহিনী,Syed Mujtaba Ali,/book/show/15778722,4.51,726
শব্‌নম্‌,Syed Mujtaba Ali,/book/show/15853577,4.03,712
পঞ্চতন্ত্র,Syed Mujtaba Ali,/book/show/17055403,4.44,360
জলে ডাঙায়,Syed Mujtaba Ali,/book/show/17840706,4.46,235
শ্রেষ্ঠ রম্য রচনা,Syed Mujtaba Ali,/book/show/17880034,4.42,171
অবিশ্বাস্য,Syed Mujtaba Ali,/book/show/17056146,3.95,132
শ্রেষ্ঠ গল্প,Syed Mujtaba Ali,/book/show/17557147,4.35,105
রচনাবলী – ১,Syed Mujtaba Ali,/book/show/16125289,4.67,94
হিটলার,Syed Mujtaba Ali,/book/show/18656905,4.17,103
সেরা রম্যরচনা,Syed Mujtaba Ali,/book/show/24763975,4.35,85
টুনি মেম,Syed Mujtaba Ali,/book/show/18111837,3.96,81
চতুরঙ্গ,Syed Mujtaba Ali,/book/show/21893326,4.15,75
ময়ূরকন্ঠী,Syed Mujtaba Ali,/book/show/18244170,4.0,74
ধূপছায়া,Syed Mujtaba Ali,/book/show/24942234,4.2,70
শহর ইয়ার,Syed Mujtaba Ali,/book/show/15989406,3.73,77
মুসাফির,Syed Mujtaba Ali,/book/show/18468668,3.89,66
ভবঘুরে ও অন্যান্য,Syed Mujtaba Ali,/book/show/18003193,4.32,47
দ্বন্দ্ব মধুর,Syed Mujtaba Ali,/book/show/24942187,4.21,47
রচনাবলী – ২,Syed Mujtaba Ali,/book/show/16125292,4.51,41
প্রেম,Syed Mujtaba Ali,/book/show/24942174,3.88,41
সৈয়দ মুজতবা আলীর শ্রেষ্ঠ গল্প,Syed Mujtaba Ali,/book/show/22432857,4.36,33
রাজা উজীর,Syed Mujtaba Ali,/book/show/17840396,4.09,35
সৈয়দ মুজতবা আলীর শ্রেষ্ঠ রম্যরচনা,Syed Mujtaba Ali,/book/show/31133212,4.45,31
কত না অশ্রু জল,Syed Mujtaba Ali,/book/show/24942231,3.85,33
বড়বাবু,Syed Mujtaba Ali,/book/show/20808610,3.74,34
তুলনাহীনা,Syed Mujtaba Ali,/book/show/18244196,3.41,37
উপন্যাস সমগ্র,Syed Mujtaba Ali,/book/show/16035503,4.32,28
গুরুদেব ও শান্তিনিকেতন,Syed Mujtaba Ali,/book/show/24650450,3.5,34
রচনাবলী – ৪,Syed Mujtaba Ali,/book/show/16177045,4.58,26
বাঙ্গালীর হাসির গল্প: প্রথম খণ্ড,Jasim Uddin,/book/show/18038594,4.3,402
নক্সী কাঁথার মাঠ,Jasim Uddin,/book/show/18904878,4.59,243
বাঙ্গালীর হাসির গল্প: দ্বিতীয় খণ্ড,Jasim Uddin,/book/show/27385981,4.28,157
সোজন বাদিয়ার ঘাট,Jasim Uddin,/book/show/18904975,4.33,70
জীবন কথা,Jasim Uddin,/book/show/24964494,4.49,47
চলে মুসাফির,Jasim Uddin,/book/show/24965393,3.9,49
রাখালী,Jasim Uddin,/book/show/24965423,4.18,38
ঠাকুরবাড়ির আঙিনায়,Jasim Uddin,/book/show/24964503,4.14,37
নকশী কাঁথার মাঠ,Jasim Uddin,/book/show/44612922,4.7,30
বোবা কাহিনী,Jasim Uddin,/book/show/24963770,4.17,29
যে দেশে মানুষ বড়,Jasim Uddin,/book/show/24965396,3.58,19
হলদে পরীর দেশে,Jasim Uddin,/book/show/23510919,3.94,16
